step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,644,In,1.021484,1.0,0.365316,0.0,0.8,0.95
2,279,In the,0.391357,0.518555,0.392461,0.027145,0.8,0.95
3,4363,In the land,0.814453,0.402832,0.19898,-0.193481,0.8,0.95
4,315,In the land of,0.000674,0.424805,0.424627,0.225647,0.8,0.95
5,362,In the land of A,1.447266,0.311768,0.031415,-0.393212,0.8,0.95
6,774,In the land of Aeth,0.314453,0.338623,0.272463,0.241048,0.8,0.95
7,486,In the land of Aethere,0.286377,0.383545,0.315298,0.042836,0.8,0.95
8,689,In the land of Aethereia,0.002552,0.419678,0.419012,0.103714,0.8,0.95
9,11,"In the land of Aethereia,",1e-05,0.4729,0.472897,0.053885,0.8,0.95
10,1405,"In the land of Aethereia, where",0.570801,0.665527,0.429492,-0.043405,0.8,0.95
11,279,"In the land of Aethereia, where the",1.099609,0.672852,0.213142,-0.21635,0.8,0.95
12,7160,"In the land of Aethereia, where the sun",0.645996,0.302979,0.181369,-0.031773,0.8,0.95
13,559,"In the land of Aethereia, where the sun sh",0.988281,0.287354,0.110903,-0.070466,0.8,0.95
14,606,"In the land of Aethereia, where the sun shone",0.000687,0.15979,0.159722,0.048819,0.8,0.95
15,10107,"In the land of Aethereia, where the sun shone bright",0.536133,0.54541,0.363724,0.204002,0.8,0.95
16,323,"In the land of Aethereia, where the sun shone bright and",0.363281,0.499756,0.386951,0.023227,0.8,0.95
17,8369,"In the land of Aethereia, where the sun shone bright and warm",0.186279,0.382324,0.338073,-0.048878,0.8,0.95
18,11,"In the land of Aethereia, where the sun shone bright and warm,",0.105591,0.357666,0.334201,-0.003873,0.8,0.95
19,279,"In the land of Aethereia, where the sun shone bright and warm, the",0.745605,0.644531,0.345939,0.011738,0.8,0.95
20,35612,"In the land of Aethereia, where the sun shone bright and warm, the shadows",0.014542,0.254395,0.252096,-0.093843,0.8,0.95
21,1047,"In the land of Aethereia, where the sun shone bright and warm, the shadows had",1.09668,0.583984,0.186054,-0.066042,0.8,0.95
22,1317,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long",1.077148,0.633301,0.209452,0.023397,0.8,0.95
23,1027,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been",0.588867,0.52832,0.335016,0.125565,0.8,0.95
24,2262,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content",0.138428,0.429199,0.392284,0.057267,0.8,0.95
25,311,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to",0.450928,0.56543,0.407009,0.014725,0.8,0.95
26,8854,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve",1.426758,0.412109,0.046777,-0.360233,0.8,0.95
27,439,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as",0.740723,0.492676,0.265928,0.219152,0.8,0.95
28,279,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the",0.321289,0.745605,0.596762,0.330833,0.8,0.95
29,5554,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the sil",1.49707,0.166748,0.011642,-0.58512,0.8,0.95
30,18664,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhou",0.079529,0.333496,0.317017,0.305375,0.8,0.95
31,47003,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes",0.001802,0.180786,0.180584,-0.136433,0.8,0.95
32,315,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of",0.500977,0.410156,0.282485,0.101902,0.8,0.95
33,682,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all",0.821289,0.701172,0.343367,0.060882,0.8,0.95
34,5496,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living",0.866699,0.669922,0.309162,-0.034205,0.8,0.95
35,2574,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things",0.1521,0.389893,0.353046,0.043884,0.8,0.95
36,13,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things.",0.000647,0.342041,0.341904,-0.011142,0.8,0.95
37,2435,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things. They",0.354248,0.321533,0.250762,-0.091142,0.8,0.95
38,84852,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things. They danced",0.415527,0.396484,0.294119,0.043358,0.8,0.95
39,323,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things. They danced and",1.073242,0.421875,0.140551,-0.153569,0.8,0.95
40,6476,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things. They danced and played",1.300781,0.358154,0.068687,-0.071864,0.8,0.95
41,389,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things. They danced and played on",1.475586,0.244019,0.020294,-0.048392,0.8,0.95
42,279,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things. They danced and played on the",0.304932,0.714355,0.57901,0.558716,0.8,0.95
43,5015,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things. They danced and played on the ground",0.704102,0.289795,0.163015,-0.415996,0.8,0.95
44,11,"In the land of Aethereia, where the sun shone bright and warm, the shadows had long been content to serve as the silhouettes of all living things. They danced and played on the ground,",0.008621,0.369385,0.367406,0.204391,0.8,0.95
