step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,3923,What,0.47583,1.0,0.70435,0.0,0.8,0.95
2,264,What a,0.339355,0.58252,0.459693,-0.244657,0.8,0.95
3,27387,What a fascinating,0.003525,0.462646,0.461633,0.00194,0.8,0.95
4,8712,What a fascinating topic,0.077576,0.427734,0.407117,-0.054516,0.8,0.95
5,0,What a fascinating topic!,0.330322,0.374023,0.297259,-0.109859,0.8,0.95
6,5336,What a fascinating topic! Id,0.680664,0.165649,0.095593,-0.201666,0.8,0.95
7,91269,What a fascinating topic! Idioms,0.005226,0.163574,0.163043,0.06745,0.8,0.95
8,5552,What a fascinating topic! Idioms related,1.124023,0.367188,0.110746,-0.052297,0.8,0.95
9,311,What a fascinating topic! Idioms related to,-0.0,0.535156,0.535156,0.424411,0.8,0.95
10,892,What a fascinating topic! Idioms related to time,1.2e-05,0.335938,0.335935,-0.199221,0.8,0.95
11,649,What a fascinating topic! Idioms related to time can,0.441162,0.608398,0.441631,0.105696,0.8,0.95
12,3493,What a fascinating topic! Idioms related to time can provide,1.016602,0.49292,0.181567,-0.260064,0.8,0.95
13,15525,What a fascinating topic! Idioms related to time can provide valuable,0.187866,0.691895,0.611131,0.429564,0.8,0.95
14,26793,What a fascinating topic! Idioms related to time can provide valuable insights,0.02655,0.446289,0.438927,-0.172204,0.8,0.95
15,1139,What a fascinating topic! Idioms related to time can provide valuable insights into,7.6e-05,0.409668,0.409649,-0.029278,0.8,0.95
16,1268,What a fascinating topic! Idioms related to time can provide valuable insights into how,0.939453,0.69043,0.287415,-0.122233,0.8,0.95
17,27833,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures,1.06543,0.378906,0.128075,-0.159341,0.8,0.95
18,45493,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive,0.272949,0.300781,0.249771,0.121696,0.8,0.95
19,323,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and,1.289062,0.314697,0.062644,-0.187127,0.8,0.95
20,3619,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand,1.3125,0.332031,0.061259,-0.001385,0.8,0.95
21,279,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the,0.901855,0.548828,0.24129,0.180031,0.8,0.95
22,7434,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept,0.041962,0.407471,0.396847,0.155557,0.8,0.95
23,315,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of,0.000306,0.503418,0.503322,0.106475,0.8,0.95
24,47176,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny,0.503906,0.324707,0.223043,-0.280279,0.8,0.95
25,13,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny.,0.075562,0.255859,0.243847,0.020804,0.8,0.95
26,6914,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let,0.102844,0.260742,0.244081,0.000234,0.8,0.95
27,596,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's,5.7e-05,0.383057,0.383043,0.138963,0.8,0.95
28,13488,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore,0.986816,0.303467,0.117398,-0.265645,0.8,0.95
29,41760,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idi,0.686523,0.171387,0.09828,-0.019118,0.8,0.95
30,7085,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms,0.002815,0.130615,0.130387,0.032107,0.8,0.95
31,315,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of,1.008789,0.379639,0.141683,0.011296,0.8,0.95
32,892,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time,1e-06,0.351318,0.351318,0.209635,0.8,0.95
33,304,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in,0.004684,0.394043,0.392896,0.041578,0.8,0.95
34,6498,What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English,4.6e-05,0.397949,0.397938,0.005042,0.8,0.95
35,11,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English,",1e-06,0.389648,0.389648,-0.00829,0.8,0.95
36,37366,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew",1e-05,0.414307,0.414304,0.024656,0.8,0.95
37,11,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew,",6e-06,0.493164,0.493162,0.078858,0.8,0.95
38,323,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and",6.1e-05,0.580566,0.580544,0.087382,0.8,0.95
39,11002,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese",1.2e-05,0.312012,0.312009,-0.268535,0.8,0.95
40,11,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese,",0.948242,0.464844,0.190969,-0.12104,0.8,0.95
41,323,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and",0.03186,0.600098,0.588218,0.397249,0.8,0.95
42,1518,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see",1.144531,0.482178,0.139283,-0.448935,0.8,0.95
43,1148,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what",0.008873,0.522461,0.519581,0.380297,0.8,0.95
44,814,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they",0.055054,0.42041,0.406029,-0.113551,0.8,0.95
45,16805,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal",0.051056,0.358643,0.347265,-0.058764,0.8,0.95
46,922,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about",0.006226,0.364014,0.362606,0.01534,0.8,0.95
47,1855,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each",0.713867,0.600586,0.334196,-0.02841,0.8,0.95
48,7829,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture",0.000423,0.463379,0.463257,0.129061,0.8,0.95
49,596,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's",2.3e-05,0.422119,0.422113,-0.041144,0.8,0.95
50,13356,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective",0.722168,0.366943,0.202293,-0.21982,0.8,0.95
51,389,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on",0.003822,0.357666,0.356817,0.154524,0.8,0.95
52,47176,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny",0.727051,0.298828,0.163835,-0.192982,0.8,0.95
53,382,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

",0.115417,0.257812,0.239324,0.075489,0.8,0.95
54,334,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**",0.746094,0.771484,0.413844,0.17452,0.8,0.95
55,23392,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English",0.003157,0.23999,0.23952,-0.174325,0.8,0.95
56,25,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:",0.854492,0.514648,0.241408,0.001889,0.8,0.95
57,57277,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

",0.146851,0.316406,0.287536,0.046128,0.8,0.95
58,16,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1",0.785645,0.297852,0.152456,-0.13508,0.8,0.95
59,13,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1.",2.7e-05,0.256104,0.256099,0.103643,0.8,0.95
60,330,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. """,0.085815,0.635254,0.601382,0.345283,0.8,0.95
61,1489,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. ""Time",0.427734,0.199707,0.146632,-0.45475,0.8,0.95
62,48036,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. ""Time waits",0.918457,0.223267,0.095855,-0.050776,0.8,0.95
63,369,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. ""Time waits for",4e-06,0.519531,0.51953,0.423675,0.8,0.95
64,912,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. ""Time waits for no",0.003263,0.394043,0.393244,-0.126286,0.8,0.95
65,893,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. ""Time waits for no man",0.148804,0.216675,0.196642,-0.196602,0.8,0.95
66,1210,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. ""Time waits for no man.""",0.78418,0.341553,0.175135,-0.021507,0.8,0.95
67,482,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. ""Time waits for no man."" -",0.543457,0.695312,0.460527,0.285392,0.8,0.95
68,1115,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. ""Time waits for no man."" - This",0.027405,0.447998,0.44037,-0.020157,0.8,0.95
69,887,"What a fascinating topic! Idioms related to time can provide valuable insights into how cultures perceive and understand the concept of destiny. Let's explore idioms of time in English, Hebrew, and Japanese, and see what they reveal about each culture's perspective on destiny.

**English:**

1. ""Time waits for no man."" - This id",0.039734,0.335938,0.327644,-0.112726,0.8,0.95
