step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,98682,Entropy,1.097656,1.0,0.317988,0.0,0.8,0.95
2,374,Entropy is,0.415771,0.432861,0.321039,0.003051,0.8,0.95
3,264,Entropy is a,0.002924,0.619629,0.618503,0.297464,0.8,0.95
4,16188,Entropy is a fundamental,0.865723,0.66748,0.30844,-0.310063,0.8,0.95
5,7434,Entropy is a fundamental concept,0.000226,0.385498,0.385444,0.077004,0.8,0.95
6,430,Entropy is a fundamental concept that,0.461914,0.572754,0.408372,0.022928,0.8,0.95
7,8111,Entropy is a fundamental concept that appears,0.931641,0.452393,0.19052,-0.217851,0.8,0.95
8,304,Entropy is a fundamental concept that appears in,0.003214,0.523926,0.52288,0.332359,0.8,0.95
9,2225,Entropy is a fundamental concept that appears in both,1.083984,0.600586,0.196081,-0.326799,0.8,0.95
10,30945,Entropy is a fundamental concept that appears in both therm,0.067078,0.305664,0.292925,0.096844,0.8,0.95
11,61002,Entropy is a fundamental concept that appears in both thermodynamic,0.659668,0.349121,0.206025,-0.0869,0.8,0.95
12,323,Entropy is a fundamental concept that appears in both thermodynamic and,0.002571,0.291992,0.291526,0.085501,0.8,0.95
13,47735,Entropy is a fundamental concept that appears in both thermodynamic and informational,0.036804,0.33667,0.328971,0.037445,0.8,0.95
14,38697,Entropy is a fundamental concept that appears in both thermodynamic and informational contexts,0.018158,0.259033,0.256111,-0.07286,0.8,0.95
15,11,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts,",0.688965,0.525879,0.300762,0.044651,0.8,0.95
16,449,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with",1.333008,0.511719,0.087891,-0.212871,0.8,0.95
17,12742,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct",1.144531,0.584473,0.168832,0.080942,0.8,0.95
18,3686,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet",0.886719,0.370361,0.166311,-0.002521,0.8,0.95
19,83416,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected",0.931152,0.352783,0.148678,-0.017633,0.8,0.95
20,50800,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings",0.294434,0.296143,0.241966,0.093288,0.8,0.95
21,382,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

",0.664062,0.201172,0.118167,-0.123798,0.8,0.95
22,334,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**",0.560547,0.796387,0.519015,0.400848,0.8,0.95
23,1016,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**Th",0.000715,0.245117,0.245008,-0.274007,0.8,0.95
24,4289,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**Therm",0.000314,0.309082,0.309022,0.064014,0.8,0.95
25,61002,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**Thermodynamic",0.005318,0.255859,0.255014,-0.054008,0.8,0.95
26,4968,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**Thermodynamic Ent",0.51416,0.174072,0.118462,-0.136552,0.8,0.95
27,18237,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**Thermodynamic Entropy",4e-06,0.179932,0.179931,0.061469,0.8,0.95
28,25,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**Thermodynamic Entropy:",0.325684,0.599121,0.477884,0.297953,0.8,0.95
29,57277,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**Thermodynamic Entropy:**

",0.650879,0.333984,0.198916,-0.278967,0.8,0.95
30,644,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**Thermodynamic Entropy:**

In",0.00292,0.310303,0.30974,0.110823,0.8,0.95
31,30945,"Entropy is a fundamental concept that appears in both thermodynamic and informational contexts, with distinct yet interconnected meanings.

**Thermodynamic Entropy:**

In therm",0.119019,0.28418,0.263164,-0.046575,0.8,0.95
