step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,51830,Ec,0.051117,1.0,0.968239,0.0,0.8,0.95
2,5848,Ecological,8e-06,0.265137,0.265135,-0.703104,0.8,0.95
3,56062,Ecological resilience,0.000213,0.282959,0.282922,0.017786,0.8,0.95
4,19813,Ecological resilience refers,0.360596,0.468262,0.363347,0.080426,0.8,0.95
5,311,Ecological resilience refers to,-0.0,0.479492,0.479492,0.116145,0.8,0.95
6,279,Ecological resilience refers to the,0.065735,0.604004,0.579334,0.099842,0.8,0.95
7,5845,Ecological resilience refers to the ability,0.270264,0.390869,0.325233,-0.254102,0.8,0.95
8,315,Ecological resilience refers to the ability of,4e-06,0.473145,0.473143,0.147911,0.8,0.95
9,459,Ecological resilience refers to the ability of an,0.378906,0.712402,0.544683,0.07154,0.8,0.95
10,26031,Ecological resilience refers to the ability of an ecosystem,0.013191,0.385498,0.382338,-0.162345,0.8,0.95
11,311,Ecological resilience refers to the ability of an ecosystem to,0.007858,0.471191,0.468891,0.086552,0.8,0.95
12,35406,Ecological resilience refers to the ability of an ecosystem to absorb,0.893555,0.368652,0.163978,-0.304913,0.8,0.95
13,323,Ecological resilience refers to the ability of an ecosystem to absorb and,0.881348,0.350098,0.15838,-0.005598,0.8,0.95
14,11993,Ecological resilience refers to the ability of an ecosystem to absorb and recover,0.230103,0.459229,0.393572,0.235192,0.8,0.95
15,505,Ecological resilience refers to the ability of an ecosystem to absorb and recover from,0.001615,0.445801,0.445354,0.051781,0.8,0.95
16,85160,Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances,0.129761,0.453857,0.417265,-0.028088,0.8,0.95
17,11,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances,",0.411133,0.531738,0.395905,-0.02136,0.8,0.95
18,1778,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such",0.927734,0.494629,0.209508,-0.186397,0.8,0.95
19,439,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as",3e-06,0.456299,0.456298,0.24679,0.8,0.95
20,5933,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural",0.552246,0.634277,0.416638,-0.03966,0.8,0.95
21,51751,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters",0.088074,0.483154,0.456715,0.040077,0.8,0.95
22,11,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters,",0.069946,0.473389,0.452815,-0.003899,0.8,0.95
23,10182,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate",0.512207,0.469971,0.320402,-0.132414,0.8,0.95
24,2349,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change",0.038727,0.598633,0.584228,0.263827,0.8,0.95
25,11,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change,",8.8e-05,0.474854,0.474828,-0.109401,0.8,0.95
26,477,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or",0.187256,0.84082,0.742992,0.268164,0.8,0.95
27,3823,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or human",0.711914,0.57666,0.321582,-0.42141,0.8,0.95
28,7640,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or human activities",1.004883,0.405762,0.152417,-0.169165,0.8,0.95
29,13,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or human activities.",0.647461,0.219727,0.131333,-0.021084,0.8,0.95
30,2206,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or human activities. Me",0.139893,0.287842,0.262823,0.13149,0.8,0.95
31,69774,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or human activities. Measuring",2.5e-05,0.1875,0.187497,-0.075325,0.8,0.95
32,50953,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or human activities. Measuring ecological",0.529297,0.482178,0.323604,0.136107,0.8,0.95
33,56062,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or human activities. Measuring ecological resilience",5e-06,0.168335,0.168334,-0.155269,0.8,0.95
34,374,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or human activities. Measuring ecological resilience is",0.775391,0.4104,0.212679,0.044344,0.8,0.95
35,16996,"Ecological resilience refers to the ability of an ecosystem to absorb and recover from disturbances, such as natural disasters, climate change, or human activities. Measuring ecological resilience is crucial",0.766602,0.312012,0.163395,-0.049283,0.8,0.95
