step,token,text_so_far,entropy,coherence,resonance,d_resonance,temperature,top_p
1,3923,What,0.773926,1.0,0.519133,0.0,0.8,0.95
2,264,What a,0.095825,0.59375,0.558398,0.039266,0.8,0.95
3,27387,What a fascinating,0.029007,0.508301,0.49914,-0.059259,0.8,0.95
4,8712,What a fascinating topic,0.006512,0.428955,0.42722,-0.07192,0.8,0.95
5,0,What a fascinating topic!,0.210571,0.390137,0.339093,-0.088126,0.8,0.95
6,578,What a fascinating topic! The,1.085938,0.240479,0.07822,-0.260873,0.8,0.95
7,7434,What a fascinating topic! The concept,0.024124,0.376953,0.371303,0.293083,0.8,0.95
8,315,What a fascinating topic! The concept of,-0.0,0.535156,0.535156,0.163853,0.8,0.95
9,9764,What a fascinating topic! The concept of identity,4.1e-05,0.257568,0.257562,-0.277594,0.8,0.95
10,374,What a fascinating topic! The concept of identity is,0.075989,0.514648,0.49035,0.232788,0.8,0.95
11,17693,What a fascinating topic! The concept of identity is deeply,1.139648,0.60791,0.177447,-0.312903,0.8,0.95
12,41976,What a fascinating topic! The concept of identity is deeply rooted,1.146484,0.477783,0.137434,-0.040013,0.8,0.95
13,304,What a fascinating topic! The concept of identity is deeply rooted in,0.000134,0.532227,0.532182,0.394748,0.8,0.95
14,4221,What a fascinating topic! The concept of identity is deeply rooted in language,0.440918,0.487061,0.353627,-0.178556,0.8,0.95
15,11,"What a fascinating topic! The concept of identity is deeply rooted in language,",0.204102,0.513672,0.44853,0.094904,0.8,0.95
16,323,"What a fascinating topic! The concept of identity is deeply rooted in language, and",0.14502,0.526367,0.478939,0.030408,0.8,0.95
17,24919,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring",1.016602,0.567871,0.209175,-0.269763,0.8,0.95
18,433,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it",1.083008,0.458984,0.150129,-0.059046,0.8,0.95
19,304,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in",0.806152,0.429688,0.214461,0.064332,0.8,0.95
20,2225,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both",0.032379,0.685059,0.671276,0.456815,0.8,0.95
21,6498,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English",0.000769,0.433838,0.433631,-0.237646,0.8,0.95
22,323,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and",-0.0,0.442139,0.442139,0.008508,0.8,0.95
23,15506,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish",2.3e-05,0.179077,0.179075,-0.263064,0.8,0.95
24,21667,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals",1.332031,0.401611,0.069223,-0.109852,0.8,0.95
25,41765,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing",0.765137,0.625977,0.328383,0.259161,0.8,0.95
26,12062,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences",1.006836,0.32373,0.12121,-0.207173,0.8,0.95
27,323,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and",0.000366,0.318115,0.318043,0.196832,0.8,0.95
28,43874,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities",0.038635,0.283203,0.276405,-0.041638,0.8,0.95
29,13,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities.",1.116211,0.320801,0.098312,-0.178092,0.8,0.95
30,6914,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let",1.192383,0.25293,0.065542,-0.03277,0.8,0.95
31,596,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's",0.031525,0.408447,0.400447,0.334905,0.8,0.95
32,30963,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive",0.429199,0.449219,0.329423,-0.071024,0.8,0.95
33,1139,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into",0.697266,0.397705,0.225405,-0.104018,0.8,0.95
34,279,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the",0.683105,0.599121,0.344832,0.119427,0.8,0.95
35,5627,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways",1.118164,0.332031,0.101351,-0.243481,0.8,0.95
36,4221,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways language",0.447266,0.30127,0.217546,0.116195,0.8,0.95
37,21483,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways language shapes",0.130981,0.34668,0.318466,0.10092,0.8,0.95
38,659,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways language shapes self",0.258789,0.220459,0.18501,-0.133455,0.8,0.95
39,17453,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways language shapes self-per",0.000125,0.236206,0.236188,0.051177,0.8,0.95
40,1010,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways language shapes self-perception",0.000942,0.087891,0.087839,-0.148349,0.8,0.95
41,323,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways language shapes self-perception and",0.016602,0.393066,0.389012,0.301173,0.8,0.95
42,13042,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways language shapes self-perception and cultural",0.00018,0.411621,0.411575,0.022563,0.8,0.95
43,7645,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways language shapes self-perception and cultural expression",8.7e-05,0.242432,0.242419,-0.169156,0.8,0.95
44,382,"What a fascinating topic! The concept of identity is deeply rooted in language, and exploring it in both English and Spanish reveals intriguing differences and similarities. Let's dive into the ways language shapes self-perception and cultural expression.

",1.05957,0.232178,0.079324,-0.163095,0.8,0.95
